,IP_LIFE_FAM,IP_LIFE_FRI,IP_LIFE_LEI,IP_LIFE_POL,IP_LIFE_WOR,IP_LIFE_REL,FEEL_OF_HAP,MEM_REL_ORG,MEM_SP_REC,MEM_MUS_EDU,MEM_LAB_UNI,MEM_POLI_PAR,MEM_HUM_ORG,SAT_W_LIFE,FREE_CHO_CON,FIGHT_FOR_COU,POL_INT,POL_JOI_BOY,POL_ATT_DEM,POL_UNOFF_STR,GOV_RESP,CONF_CHU,CONF_ARMED,CONF_PRESS,CONF_LABOURUN,CONF_PARL,CONF_SECSYS,CONF_GOV,CONF_POLPART,POL_SYS_LEADER,POL_SYS_EXPERT,POL_SYS_ARMY,POL_SYS_DEM,REL_GROUPS,PROUD_OF_NAT,WVS_WAVES,RESPONDENT_NUM,DATE_INT,WEIGHT,YEAR_SURVEW,LEVEL_EDU,LEVEL_EDU_RESP,LEVEL_EDU_COUNTRY,SEX,YEAR_OF_BIRTH,AGE,MARITAL_STA,HOW_MANY_CHILD,EMPLOY_STATUS,PROF_JOB,INCOME_SCALE,SETTL_SIZE,SETTL_TYPE,ETHNIC_GROUP
0,1,2,2,3,1,1,2,2,0,0,0,0,0,8,10,-1,3,3,3,-4,8,3,3,2,3,3,-4,2,3,3,3,3,1,9,1,5,320520001,-4,0.454064,2006,3,-4,-4,1,1984,21,6,0,2,25,-4,8,-4.0,32001.0
1,1,3,3,3,3,3,1,0,0,0,0,0,0,8,10,1,3,3,3,-4,3,3,2,2,3,3,-4,2,3,2,3,3,1,1,1,5,320520002,-4,0.454064,2006,4,-4,-4,1,1971,35,2,0,1,51,-4,8,-4.0,32001.0
2,1,1,2,4,1,2,1,0,0,0,0,0,0,9,10,0,4,3,3,-4,2,2,3,2,-1,4,-4,2,3,2,1,3,1,1,-3,5,320520003,-4,0.454064,2006,2,-4,-4,2,1980,26,1,2,5,61,-4,8,-4.0,32001.0
3,1,2,1,3,1,2,2,0,0,0,0,0,0,8,-2,1,2,3,1,-4,10,3,3,2,4,4,-4,3,4,4,4,4,1,1,1,5,320520004,-4,0.454064,2006,3,-4,-4,1,1958,48,4,2,1,33,-4,8,-4.0,32001.0
4,1,1,1,3,1,3,1,0,0,0,0,0,0,8,9,0,3,3,3,-4,3,3,3,3,3,4,-4,3,3,3,4,4,1,1,1,5,320520005,-4,0.454064,2006,4,-4,-4,1,1974,32,2,2,1,25,-4,8,-4.0,32001.0
5,1,1,2,1,4,1,2,2,0,1,0,1,0,9,5,0,1,3,2,-4,3,1,2,1,4,4,-4,4,3,4,2,2,1,1,2,5,320520006,-4,0.454064,2006,8,-4,-4,2,1936,70,6,0,4,21,-4,8,-4.0,32001.0
6,1,1,1,2,1,4,3,0,0,0,0,0,0,1,5,-1,2,3,1,-4,10,3,3,2,4,4,-4,4,4,4,1,4,1,0,4,5,320520007,-4,0.454064,2006,8,-4,-4,1,1947,59,1,1,3,21,-4,8,-4.0,32001.0
7,1,3,3,2,1,2,2,0,0,0,1,0,1,8,7,1,2,3,3,-4,6,3,3,3,3,2,-4,3,3,3,3,3,2,1,3,5,320520008,-4,0.454064,2006,7,-4,-4,1,1979,27,1,2,1,23,-4,8,-4.0,32001.0
8,1,1,1,2,2,3,2,0,2,1,0,0,0,8,7,1,2,-1,2,-4,6,3,3,3,4,3,-4,3,4,4,4,4,1,1,1,5,320520009,-4,0.454064,2006,8,-4,-4,1,1972,34,2,0,1,21,-4,8,-4.0,32001.0
9,1,2,2,2,2,2,3,1,0,0,1,0,0,8,6,1,3,3,2,-4,6,3,3,3,3,3,-4,2,3,4,4,4,1,1,1,5,320520010,-4,0.454064,2006,5,-4,-4,2,1959,46,3,3,1,25,-4,8,-4.0,32001.0
